"","station","valid","lon","lat","tmpf","dwpf","relh","drct","sknt","p01i","alti","mslp","vsby","gust","skyc1","skyc2","skyc3","skyc4","skyl1","skyl2","skyl3","skyl4","wxcodes","ice_accretion_1hr","ice_accretion_3hr","ice_accretion_6hr","peak_wind_gust","peak_wind_drct","peak_wind_time","feel","metar"
"143710","ELP","2016-05-26 00:30:00",-106.3758,31.8111,NA,NA,NA,NA,NA,NA,29.92,NA,5,NA,"SCT","SCT",NA,NA,100,12000,NA,NA,"BLDU",NA,NA,NA,NA,NA,NA,NA,"KELP 260030Z AUTO /////KT 5SM BLDU SCT001 SCT120 32/M12 A2992 RMK T03201120  DU SCT001 MTNS OBSCD SW-NW MADISHF"
"143711","ELP","2016-05-26 00:35:00",-106.3758,31.8111,NA,NA,NA,250,19,NA,29.92,NA,5,NA,"SCT","SCT",NA,NA,100,12000,NA,NA,"BLDU",NA,NA,NA,NA,NA,NA,NA,"KELP 260035Z AUTO 25019KT 5SM BLDU SCT001 SCT120 32/M12 A2992 RMK T03201120  DU SCT001 MTNS OBSCD SW-NW MADISHF"
"143712","ELP","2016-05-26 00:40:00",-106.3758,31.8111,NA,NA,NA,NA,NA,NA,29.92,NA,5,NA,"SCT","SCT",NA,NA,100,12000,NA,NA,"BLDU",NA,NA,NA,NA,NA,NA,NA,"KELP 260040Z AUTO /////KT 5SM BLDU SCT001 SCT120 32/M12 A2992 RMK T03201120  DU SCT001 MTNS OBSCD SW-NW MADISHF"
"143713","ELP","2016-05-26 00:45:00",-106.3758,31.8111,NA,NA,NA,250,19,NA,29.91,NA,5,NA,"SCT","SCT",NA,NA,100,12000,NA,NA,"BLDU",NA,NA,NA,NA,NA,NA,NA,"KELP 260045Z AUTO 25019KT 5SM BLDU SCT001 SCT120 32/M13 A2991 RMK T03201130  DU SCT001 MTNS OBSCD SW-NW MADISHF"
"143714","ELP","2016-05-26 00:50:00",-106.3758,31.8111,NA,NA,NA,NA,NA,NA,29.92,NA,6,NA,"SCT","SCT",NA,NA,100,12000,NA,NA,"BLDU",NA,NA,NA,NA,NA,NA,NA,"KELP 260050Z AUTO /////KT 6SM BLDU SCT001 SCT120 32/M13 A2992 RMK T03201130  DU SCT001 MTNS OBSCD SW-NW MADISHF"
"143715","ELP","2016-05-26 00:51:00",-106.3758,31.8111,89.06,8.96,4.9,260,24,0,29.92,1005.8,6,30,"SCT","SCT",NA,NA,100,12000,NA,NA,"BLDU",NA,NA,NA,NA,NA,NA,83.74,"KELP 260051Z 26024G30KT 6SM BLDU SCT001 SCT120 32/M13 A2992 RMK AO2 PK WND 26031/0026 SLP058 DU SCT001 MTNS OBSCD SW-NW T03171128"
"143716","ELP","2016-05-26 00:55:00",-106.3758,31.8111,NA,NA,NA,NA,NA,NA,29.92,NA,6,NA,"SCT","SCT",NA,NA,100,12000,NA,NA,"BLDU",NA,NA,NA,NA,NA,NA,NA,"KELP 260055Z AUTO /////KT 6SM BLDU SCT001 SCT120 32/M13 A2992 RMK T03201130  DU SCT001 MTNS OBSCD SW-NW MADISHF"
"143717","ELP","2016-05-26 01:00:00",-106.3758,31.8111,NA,NA,NA,NA,NA,NA,29.92,NA,6,NA,"SCT","SCT",NA,NA,100,12000,NA,NA,"BLDU",NA,NA,NA,NA,NA,NA,NA,"KELP 260100Z AUTO /////KT 6SM BLDU SCT001 SCT120 32/M13 A2992 RMK T03201130  DU SCT001 MTNS OBSCD SW-NW MADISHF"
"143718","ELP","2016-05-26 01:05:00",-106.3758,31.8111,NA,NA,NA,NA,NA,NA,29.92,NA,6,NA,"SCT","SCT",NA,NA,100,12000,NA,NA,"BLDU",NA,NA,NA,NA,NA,NA,NA,"KELP 260105Z AUTO /////KT 6SM BLDU SCT001 SCT120 32/M13 A2992 RMK T03201130  DU SCT001 MTNS OBSCD SW-NW MADISHF"
"143719","ELP","2016-05-26 01:10:00",-106.3758,31.8111,NA,NA,NA,NA,NA,NA,29.92,NA,6,NA,"SCT","SCT",NA,NA,100,12000,NA,NA,"BLDU",NA,NA,NA,NA,NA,NA,NA,"KELP 260110Z AUTO /////KT 6SM BLDU SCT001 SCT120 32/M13 A2992 RMK T03201130  DU SCT001 MTNS OBSCD SW-NW MADISHF"
"143720","ELP","2016-05-26 01:15:00",-106.3758,31.8111,NA,NA,NA,NA,NA,NA,29.92,NA,6,NA,"SCT","SCT",NA,NA,100,12000,NA,NA,"BLDU",NA,NA,NA,NA,NA,NA,NA,"KELP 260115Z AUTO /////KT 6SM BLDU SCT001 SCT120 32/M13 A2992 RMK T03201130  DU SCT001 MTNS OBSCD SW-NW MADISHF"
"143721","ELP","2016-05-26 01:20:00",-106.3758,31.8111,NA,NA,NA,NA,NA,NA,29.92,NA,6,NA,"SCT","SCT",NA,NA,100,12000,NA,NA,"BLDU",NA,NA,NA,NA,NA,NA,NA,"KELP 260120Z AUTO /////KT 6SM BLDU SCT001 SCT120 31/M14 A2992 RMK T03101140  DU SCT001 MTNS OBSCD SW-NW MADISHF"
"143722","ELP","2016-05-26 01:25:00",-106.3758,31.8111,NA,NA,NA,250,19,NA,29.92,NA,6,NA,"SCT","SCT",NA,NA,100,12000,NA,NA,"BLDU",NA,NA,NA,NA,NA,NA,NA,"KELP 260125Z AUTO 25019KT 6SM BLDU SCT001 SCT120 31/M14 A2992 RMK T03101140  DU SCT001 MTNS OBSCD SW-NW MADISHF"
"143723","ELP","2016-05-26 01:30:00",-106.3758,31.8111,NA,NA,NA,NA,NA,NA,29.92,NA,6,NA,"SCT","SCT",NA,NA,100,12000,NA,NA,"BLDU",NA,NA,NA,NA,NA,NA,NA,"KELP 260130Z AUTO /////KT 6SM BLDU SCT001 SCT120 31/M13 A2992 RMK T03101130  DU SCT001 MTNS OBSCD SW-NW MADISHF"
"143724","ELP","2016-05-26 01:35:00",-106.3758,31.8111,NA,NA,NA,250,15,NA,29.92,NA,6,20,"SCT","SCT",NA,NA,100,12000,NA,NA,"BLDU",NA,NA,NA,NA,NA,NA,NA,"KELP 260135Z AUTO 25015G20KT 6SM BLDU SCT001 SCT120 31/M13 A2992 RMK T03101130  DU SCT001 MTNS OBSCD SW-NW MADISHF"
"143725","ELP","2016-05-26 01:40:00",-106.3758,31.8111,NA,NA,NA,NA,NA,NA,29.93,NA,6,NA,"SCT","SCT",NA,NA,100,12000,NA,NA,"BLDU",NA,NA,NA,NA,NA,NA,NA,"KELP 260140Z AUTO /////KT 6SM BLDU SCT001 SCT120 31/M14 A2993 RMK T03101140  DU SCT001 MTNS OBSCD SW-NW MADISHF"
"143726","ELP","2016-05-26 01:45:00",-106.3758,31.8111,NA,NA,NA,NA,NA,NA,29.93,NA,7,NA,"CLR",NA,NA,NA,NA,NA,NA,NA,"BLDU",NA,NA,NA,NA,NA,NA,NA,"KELP 260145Z AUTO /////KT 7SM BLDU CLR 31/M14 A2993 RMK T03101140  DU SCT001 MTNS OBSCD SW-NW MADISHF"
"143971","ELP","2016-05-26 20:33:00",-106.3758,31.8111,86,19.94,8.73,250,19,0,29.85,NA,6,32,"FEW","FEW",NA,NA,100,12000,NA,NA,"BLDU",NA,NA,NA,NA,NA,NA,81.97,"KELP 262033Z 25019G32KT 6SM BLDU FEW001 FEW120 30/M07 A2985 RMK AO2 PK WND 24032/2025 DU FEW001 BLDU SW-N MTNS OBSCD SW-NW T03001067"
"143972","ELP","2016-05-26 20:35:00",-106.3758,31.8111,NA,NA,NA,270,16,NA,29.85,NA,6,NA,"FEW","FEW",NA,NA,100,12000,NA,NA,"BLDU",NA,NA,NA,NA,NA,NA,NA,"KELP 262035Z AUTO 27016KT 6SM BLDU FEW001 FEW120 29/M07 A2985 RMK T02901070  DU FEW001 BLDU SW-N MTNS OBSCD SW-NW MADISHF"
"143973","ELP","2016-05-26 20:40:00",-106.3758,31.8111,NA,NA,NA,230,16,NA,29.85,NA,5,NA,"FEW","FEW",NA,NA,100,12000,NA,NA,"BLDU",NA,NA,NA,NA,NA,NA,NA,"KELP 262040Z AUTO 23016KT 5SM BLDU FEW001 FEW120 29/M07 A2985 RMK T02901070  DU FEW001 BLDU SW-NW-NE MTNS OBSCD SW-NW MADISHF"
"143974","ELP","2016-05-26 20:45:00",-106.3758,31.8111,NA,NA,NA,NA,NA,NA,29.85,NA,5,NA,"FEW","FEW",NA,NA,100,12000,NA,NA,"BLDU",NA,NA,NA,NA,NA,NA,NA,"KELP 262045Z AUTO /////KT 5SM BLDU FEW001 FEW120 29/M08 A2985 RMK T02901080  DU FEW001 BLDU SW-NW-NE MTNS OBSCD SW-NW MADISHF"
